No.,name,エリア,Latitude,Longitude,区分,googlemaplink,コメント,ジオパーク公式サイト
1,古関東深海盆,関東,35.29395381,140.1463596,ジオパークを目指す地域,https://www.google.com/maps/place/%E3%83%81%E3%83%90%E3%83%8B%E3%82%A2%E3%83%B3+%E5%9B%BD%E6%8C%87%E5%AE%9A%E5%A4%A9%E7%84%B6%E8%A8%98%E5%BF%B5%E7%89%A9+%E9%A4%8A%E8%80%81%E5%B7%9D%E6%B5%81%E5%9F%9F%E7%94%B0%E6%B7%B5%E3%81%AE%E5%9C%B0%E7%A3%81%E6%B0%97%E9%80%86%E8%BB%A2%E5%9C%B0%E5%B1%A4/@35.2876821,コメント,https://www.paleokantogeo.org/
2,蔵王,東北,38.13615692,140.4494684,ジオパークを目指す地域,https://www.google.com/maps/place/%E5%BE%A1%E9%87%9C/@38.0988651,コメント,https://zaogeopark.jp/
3,飛騨山脈,甲信越,36.82393133,137.7529431,ジオパークを目指す地域,https://www.google.com/maps/place/%E9%A3%9B%E9%A8%A8%E5%B1%B1%E8%84%88/@36.5783965,コメント,https://hidageo.com/
4,那須鳥山,北関東,36.59762066,140.1875091,ジオパークを目指す地域,https://www.google.com/maps/place/%E9%82%A3%E7%8F%82%E5%B7%9D%E7%9C%8C%E7%AB%8B%E8%87%AA%E7%84%B6%E5%85%AC%E5%9C%92/@36.6010707,コメント,https://www.city.nasukarasuyama.lg.jp/page/page000102.html
5,"三好	",四国,33.93171806,133.8514248,ジオパークを目指す地域,https://www.google.com/maps/place/%E5%BE%B3%E5%B3%B6%E7%9C%8C%E4%B8%89%E5%A5%BD%E5%B8%82/@33.918569,コメント,ttps://miyoshi-city.jp/geopark/
6,大雪山カムイミンタラ,北海道,43.506711,142.9836887,ジオパークを目指す地域,https://www.google.com/maps/place/%E5%A4%A7%E9%9B%AA%E5%B1%B1%E5%9B%BD%E7%AB%8B%E5%85%AC%E5%9C%92/@43.4651426,コメント,https://daisetsuzan-kamuymintar-geopark.jp/
7,喜界島,南西諸島,28.32936078,129.9815642,ジオパークを目指す地域,https://www.google.com/maps/place/%E5%96%9C%E7%95%8C%E5%B3%B6/@28.3204454,コメント,https://www.town.kikai.lg.jp/kankou/geopark2.html
