No.,name,エリア,Latitude,Longitude,区分,googlemaplink,コメント,ジオパーク公式サイト
18,箱根,神奈川,35.23322001,139.0318191,日本ジオパーク,"https://www.google.com/maps/search/%E7%AE%B1%E6%A0%B9%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@35.2323787,139.012593,13z/data=!3m1!4b1",,https://geopark.jp/geopark/hakone/
19,伊豆大島,東京,34.74074211,139.4020741,日本ジオパーク,"https://www.google.com/maps/search/%E4%BC%8A%E8%B1%86%E5%A4%A7%E5%B3%B6%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@34.7386262,139.3643086,13z/data=!3m1!4b1",,https://geopark.jp/geopark/izu_oshima/
20,佐渡,新潟,38.0226482,138.403512,日本ジオパーク,"https://www.google.com/maps/search/%E4%BD%90%E6%B8%A1%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@38.0713145,138.1082545,10z/data=!3m1!4b1",,https://geopark.jp/geopark/sado/
21,苗場山麓,新潟、長野,36.84571085,138.6903785,日本ジオパーク,"https://www.google.com/maps/place/%E8%8B%97%E5%A0%B4%E5%B1%B1/@36.8366824,138.6647102,14.44z/data=!4m10!1m2!2m1!1z6IuX5aC0!3m6!1s0x601dfe70eac3e33b:0x6d91c761972215d6!8m2!3d36.8457847!4d138.6904786!15sCgboi5floLRaCCIG6IuX5aC0kgEEcGVha5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMmVtRnlWMDlCRUFF4AEA!16zL20vMDR6azRr",,https://geopark.jp/geopark/naeba-sanroku/
22,南アルプス(中央構造線エリア),長野,35.55637952,138.0384091,日本ジオパーク,"https://www.google.com/maps/place/%E5%A4%A7%E9%B9%BF%E6%9D%91%E4%B8%AD%E5%A4%AE%E6%A7%8B%E9%80%A0%E7%B7%9A%E5%8D%9A%E7%89%A9%E9%A4%A8/@35.5486962,137.9680376,11.52z/data=!4m14!1m7!3m6!1s0x601c86d5261c3f17:0x3ccfd9df4ecfce84!2z5aSn6bm_5p2R5Lit5aSu5qeL6YCg57ea5Y2a54mp6aSo!8m2!3d35.556375!4d138.0383889!16s%2Fg%2F121_c4z_!3m5!1s0x601c86d5261c3f17:0x3ccfd9df4ecfce84!8m2!3d35.556375!4d138.0383889!16s%2Fg%2F121_c4z_",,https://geopark.jp/geopark/m_alps/
23,立山黒部,富山,36.59451967,137.613679,日本ジオパーク,"https://www.google.com/maps/search/%E7%AB%8B%E5%B1%B1%E9%BB%92%E9%83%A8/@36.6231814,137.5045024,12z",,https://geopark.jp/geopark/tateyama-kurobe/
24,白山手取川,石川,36.43471049,136.6312731,日本ジオパーク,"https://www.google.com/maps/search/%E7%99%BD%E5%B1%B1%E6%89%8B%E5%8F%96%E5%B7%9D/@36.4088759,136.4900603,12z",,https://geopark.jp/geopark/hakusan/
25,恐竜渓谷ふくい勝山,福井,36.06075867,136.5005407,日本ジオパーク,"https://www.google.com/maps/search/%E6%81%90%E7%AB%9C%E6%B8%93%E8%B0%B7%E3%81%B5%E3%81%8F%E3%81%84%E5%8B%9D%E5%B1%B1/@36.0588074,136.4970299,13.65z",,https://geopark.jp/geopark/fukui/
26,南紀熊野,奈良、和歌山,33.52819553,135.7670271,日本ジオパーク,"https://www.google.com/maps/search/%E5%8D%97%E7%B4%80%E7%86%8A%E9%87%8E/@33.5201816,135.6949294,12z/data=!3m1!4b1",,https://geopark.jp/geopark/nanki-kumano/
27,島根半島・宍道湖中海,島根,35.56446474,133.057424,日本ジオパーク,"https://www.google.com/maps/place/%E5%B3%B6%E6%A0%B9%E5%8D%8A%E5%B3%B6%E3%83%BB%E5%AE%8D%E9%81%93%E6%B9%96%E4%B8%AD%E6%B5%B7%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF+%E6%9D%BE%E6%B1%9F%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@35.5703868,133.0544524,13.21z/data=!4m6!3m5!1s0x355707a106de0feb:0xa195e0b61881e6c9!8m2!3d35.564924!4d133.0575969!16s%2Fg%2F11fb17h_bc",,https://geopark.jp/geopark/shimane_pen/
